On the 0th level of the search tree
- Removing the 0 feature with accuracy: 0.6674
- Removing the 1 feature with accuracy: 0.6694
- Removing the 2 feature with accuracy: 0.677
- Removing the 3 feature with accuracy: 0.6726
- Removing the 4 feature with accuracy: 0.6672
- Removing the 5 feature with accuracy: 0.6718
- Removing the 6 feature with accuracy: 0.6694
- Removing the 7 feature with accuracy: 0.6656
- Removing the 8 feature with accuracy: 0.6686
- Removing the 9 feature with accuracy: 0.662
- Removing the 10 feature with accuracy: 0.6642
- Removing the 11 feature with accuracy: 0.6662
- Removing the 12 feature with accuracy: 0.6718
- Removing the 13 feature with accuracy: 0.668
- Removing the 14 feature with accuracy: 0.6732
- Removing the 15 feature with accuracy: 0.6632
- Removing the 16 feature with accuracy: 0.6608
- Removing the 17 feature with accuracy: 0.6616
- Removing the 18 feature with accuracy: 0.6712
- Removing the 19 feature with accuracy: 0.669
- Removing the 20 feature with accuracy: 0.6662
- Removing the 21 feature with accuracy: 0.6716
- Removing the 22 feature with accuracy: 0.6694
- Removing the 23 feature with accuracy: 0.6662
- Removing the 24 feature with accuracy: 0.6756
- Removing the 25 feature with accuracy: 0.6646
- Removing the 26 feature with accuracy: 0.6668
- Removing the 27 feature with accuracy: 0.6712
- Removing the 28 feature with accuracy: 0.673
- Removing the 29 feature with accuracy: 0.6636
- Removing the 30 feature with accuracy: 0.6686
- Removing the 31 feature with accuracy: 0.6668
- Removing the 32 feature with accuracy: 0.6646
- Removing the 33 feature with accuracy: 0.663
- Removing the 34 feature with accuracy: 0.674
- Removing the 35 feature with accuracy: 0.6646
- Removing the 36 feature with accuracy: 0.6668
- Removing the 37 feature with accuracy: 0.6698
- Removing the 38 feature with accuracy: 0.6686
- Removing the 39 feature with accuracy: 0.6728
- Removing the 40 feature with accuracy: 0.6698
- Removing the 41 feature with accuracy: 0.6724
- Removing the 42 feature with accuracy: 0.6574
- Removing the 43 feature with accuracy: 0.6686
- Removing the 44 feature with accuracy: 0.6682
- Removing the 45 feature with accuracy: 0.666
- Removing the 46 feature with accuracy: 0.6746
- Removing the 47 feature with accuracy: 0.6648
- Removing the 48 feature with accuracy: 0.663
- Removing the 49 feature with accuracy: 0.6682

On level 0, removed feature 2 to current set. With current features: [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.677

On the 1th level of the search tree
- Removing the 0 feature with accuracy: 0.679
- Removing the 1 feature with accuracy: 0.6766
- Removing the 3 feature with accuracy: 0.6794
- Removing the 4 feature with accuracy: 0.6728
- Removing the 5 feature with accuracy: 0.682
- Removing the 6 feature with accuracy: 0.6724
- Removing the 7 feature with accuracy: 0.6706
- Removing the 8 feature with accuracy: 0.672
- Removing the 9 feature with accuracy: 0.6746
- Removing the 10 feature with accuracy: 0.6746
- Removing the 11 feature with accuracy: 0.6766
- Removing the 12 feature with accuracy: 0.6752
- Removing the 13 feature with accuracy: 0.6716
- Removing the 14 feature with accuracy: 0.677
- Removing the 15 feature with accuracy: 0.6746
