On the 0th level of the search tree
- Adding the 1 feature with accuracy: 0.683
- Adding the 2 feature with accuracy: 0.6894
- Adding the 3 feature with accuracy: 0.686
- Adding the 4 feature with accuracy: 0.7206
- Adding the 5 feature with accuracy: 0.7046
- Adding the 6 feature with accuracy: 0.691
- Adding the 7 feature with accuracy: 0.6784
- Adding the 8 feature with accuracy: 0.6746
- Adding the 9 feature with accuracy: 0.6882
- Adding the 10 feature with accuracy: 0.831
- Adding the 11 feature with accuracy: 0.6918
- Adding the 12 feature with accuracy: 0.6966
- Adding the 13 feature with accuracy: 0.696
- Adding the 14 feature with accuracy: 0.685
- Adding the 15 feature with accuracy: 0.6898
- Adding the 16 feature with accuracy: 0.6872
- Adding the 17 feature with accuracy: 0.682
- Adding the 18 feature with accuracy: 0.6874
- Adding the 19 feature with accuracy: 0.6802
- Adding the 20 feature with accuracy: 0.682
- Adding the 21 feature with accuracy: 0.6854
- Adding the 22 feature with accuracy: 0.6874
- Adding the 23 feature with accuracy: 0.6818
- Adding the 24 feature with accuracy: 0.6912
- Adding the 25 feature with accuracy: 0.685
- Adding the 26 feature with accuracy: 0.6832
- Adding the 27 feature with accuracy: 0.6776
- Adding the 28 feature with accuracy: 0.6862
- Adding the 29 feature with accuracy: 0.6928
- Adding the 30 feature with accuracy: 0.686
- Adding the 31 feature with accuracy: 0.6826
- Adding the 32 feature with accuracy: 0.6976
- Adding the 33 feature with accuracy: 0.6826
- Adding the 34 feature with accuracy: 0.6838
- Adding the 35 feature with accuracy: 0.6866
- Adding the 36 feature with accuracy: 0.6924
- Adding the 37 feature with accuracy: 0.694
- Adding the 38 feature with accuracy: 0.6774
- Adding the 39 feature with accuracy: 0.6816
- Adding the 40 feature with accuracy: 0.6764
- Adding the 41 feature with accuracy: 0.6956
- Adding the 42 feature with accuracy: 0.6736
- Adding the 43 feature with accuracy: 0.6836
- Adding the 44 feature with accuracy: 0.6824
- Adding the 45 feature with accuracy: 0.6892
- Adding the 46 feature with accuracy: 0.6912
- Adding the 47 feature with accuracy: 0.6938
- Adding the 48 feature with accuracy: 0.6934
- Adding the 49 feature with accuracy: 0.6726
- Adding the 50 feature with accuracy: 0.6844

On level 0, added feature 9 to current set. With current features: [9] and local maximum accuracy 0.831

On the 1th level of the search tree
- Adding the 1 feature with accuracy: 0.835
- Adding the 2 feature with accuracy: 0.8384
- Adding the 3 feature with accuracy: 0.8384
- Adding the 4 feature with accuracy: 0.977
- Adding the 5 feature with accuracy: 0.8356
- Adding the 6 feature with accuracy: 0.8398
- Adding the 7 feature with accuracy: 0.8328
- Adding the 8 feature with accuracy: 0.8364
- Adding the 9 feature with accuracy: 0.83
- Adding the 11 feature with accuracy: 0.831
- Adding the 12 feature with accuracy: 0.829
- Adding the 13 feature with accuracy: 0.8276
- Adding the 14 feature with accuracy: 0.8334
- Adding the 15 feature with accuracy: 0.8328
- Adding the 16 feature with accuracy: 0.8332
- Adding the 17 feature with accuracy: 0.83
- Adding the 18 feature with accuracy: 0.8334
- Adding the 19 feature with accuracy: 0.8312
- Adding the 20 feature with accuracy: 0.836
- Adding the 21 feature with accuracy: 0.828
- Adding the 22 feature with accuracy: 0.8398
- Adding the 23 feature with accuracy: 0.8386
- Adding the 24 feature with accuracy: 0.8354
- Adding the 25 feature with accuracy: 0.8318
- Adding the 26 feature with accuracy: 0.8296
- Adding the 27 feature with accuracy: 0.8326
- Adding the 28 feature with accuracy: 0.8354
- Adding the 29 feature with accuracy: 0.8256
- Adding the 30 feature with accuracy: 0.839
- Adding the 31 feature with accuracy: 0.8314
- Adding the 32 feature with accuracy: 0.835
- Adding the 33 feature with accuracy: 0.8192
- Adding the 34 feature with accuracy: 0.8298
- Adding the 35 feature with accuracy: 0.832
- Adding the 36 feature with accuracy: 0.8292
- Adding the 37 feature with accuracy: 0.833
- Adding the 38 feature with accuracy: 0.8432
- Adding the 39 feature with accuracy: 0.831
- Adding the 40 feature with accuracy: 0.8312
- Adding the 41 feature with accuracy: 0.8388
- Adding the 42 feature with accuracy: 0.834
- Adding the 43 feature with accuracy: 0.8288
- Adding the 44 feature with accuracy: 0.829
- Adding the 45 feature with accuracy: 0.829
- Adding the 46 feature with accuracy: 0.8378
- Adding the 47 feature with accuracy: 0.8302
- Adding the 48 feature with accuracy: 0.8296
- Adding the 49 feature with accuracy: 0.8268
- Adding the 50 feature with accuracy: 0.8332

On level 1, added feature 3 to current set. With current features: [9, 3] and local maximum accuracy 0.977

On the 2th level of the search tree
- Adding the 1 feature with accuracy: 0.954
- Adding the 2 feature with accuracy: 0.9488
- Adding the 3 feature with accuracy: 0.948
- Adding the 5 feature with accuracy: 0.9526
- Adding the 6 feature with accuracy: 0.9502
- Adding the 7 feature with accuracy: 0.9486
- Adding the 8 feature with accuracy: 0.9494
- Adding the 9 feature with accuracy: 0.9468
- Adding the 11 feature with accuracy: 0.9524
- Adding the 12 feature with accuracy: 0.9532
- Adding the 13 feature with accuracy: 0.9582
- Adding the 14 feature with accuracy: 0.9508
- Adding the 15 feature with accuracy: 0.957
- Adding the 16 feature with accuracy: 0.9496
- Adding the 17 feature with accuracy: 0.9544
- Adding the 18 feature with accuracy: 0.9556
- Adding the 19 feature with accuracy: 0.953
- Adding the 20 feature with accuracy: 0.9544
- Adding the 21 feature with accuracy: 0.9492
- Adding the 22 feature with accuracy: 0.949
- Adding the 23 feature with accuracy: 0.9546
- Adding the 24 feature with accuracy: 0.954
- Adding the 25 feature with accuracy: 0.9518
- Adding the 26 feature with accuracy: 0.9546
- Adding the 27 feature with accuracy: 0.9568
- Adding the 28 feature with accuracy: 0.9566
- Adding the 29 feature with accuracy: 0.9514
- Adding the 30 feature with accuracy: 0.9518
- Adding the 31 feature with accuracy: 0.952
- Adding the 32 feature with accuracy: 0.9536
- Adding the 33 feature with accuracy: 0.95
- Adding the 34 feature with accuracy: 0.9504
- Adding the 35 feature with accuracy: 0.9542
- Adding the 36 feature with accuracy: 0.9532
- Adding the 37 feature with accuracy: 0.9568
- Adding the 38 feature with accuracy: 0.9542
- Adding the 39 feature with accuracy: 0.9506
- Adding the 40 feature with accuracy: 0.9548
- Adding the 41 feature with accuracy: 0.953
- Adding the 42 feature with accuracy: 0.9526
- Adding the 43 feature with accuracy: 0.9522
- Adding the 44 feature with accuracy: 0.951
- Adding the 45 feature with accuracy: 0.957
- Adding the 46 feature with accuracy: 0.9676
- Adding the 47 feature with accuracy: 0.9508
- Adding the 48 feature with accuracy: 0.9582
- Adding the 49 feature with accuracy: 0.9502
- Adding the 50 feature with accuracy: 0.9504

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 2, added feature 45 to current set. With current features: [9, 3, 45] and local maximum accuracy 0.9676

On the 3th level of the search tree
- Adding the 1 feature with accuracy: 0.9392
- Adding the 2 feature with accuracy: 0.9368
- Adding the 3 feature with accuracy: 0.9332
- Adding the 5 feature with accuracy: 0.9368
- Adding the 6 feature with accuracy: 0.93
- Adding the 7 feature with accuracy: 0.9376
- Adding the 8 feature with accuracy: 0.94
- Adding the 9 feature with accuracy: 0.9332
- Adding the 11 feature with accuracy: 0.9326
- Adding the 12 feature with accuracy: 0.9328
- Adding the 13 feature with accuracy: 0.9352
- Adding the 14 feature with accuracy: 0.933
- Adding the 15 feature with accuracy: 0.9384
- Adding the 16 feature with accuracy: 0.9344
- Adding the 17 feature with accuracy: 0.9396
- Adding the 18 feature with accuracy: 0.9412
- Adding the 19 feature with accuracy: 0.9324
- Adding the 20 feature with accuracy: 0.9378
- Adding the 21 feature with accuracy: 0.9366
- Adding the 22 feature with accuracy: 0.9344
- Adding the 23 feature with accuracy: 0.9348
- Adding the 24 feature with accuracy: 0.9394
- Adding the 25 feature with accuracy: 0.9348
- Adding the 26 feature with accuracy: 0.9388
- Adding the 27 feature with accuracy: 0.9394
- Adding the 28 feature with accuracy: 0.936
- Adding the 29 feature with accuracy: 0.9316
- Adding the 30 feature with accuracy: 0.94
- Adding the 31 feature with accuracy: 0.934
- Adding the 32 feature with accuracy: 0.9328
- Adding the 33 feature with accuracy: 0.9392
- Adding the 34 feature with accuracy: 0.9384
- Adding the 35 feature with accuracy: 0.9346
- Adding the 36 feature with accuracy: 0.939
- Adding the 37 feature with accuracy: 0.9384
- Adding the 38 feature with accuracy: 0.9354
- Adding the 39 feature with accuracy: 0.9396
- Adding the 40 feature with accuracy: 0.9402
- Adding the 41 feature with accuracy: 0.9364
- Adding the 42 feature with accuracy: 0.937
- Adding the 43 feature with accuracy: 0.9344
- Adding the 44 feature with accuracy: 0.9344
- Adding the 45 feature with accuracy: 0.937
- Adding the 47 feature with accuracy: 0.9384
- Adding the 48 feature with accuracy: 0.9346
- Adding the 49 feature with accuracy: 0.936
- Adding the 50 feature with accuracy: 0.9408

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 3, added feature 17 to current set. With current features: [9, 3, 45, 17] and local maximum accuracy 0.9412

On the 4th level of the search tree
- Adding the 1 feature with accuracy: 0.914
- Adding the 2 feature with accuracy: 0.9042
- Adding the 3 feature with accuracy: 0.902
- Adding the 5 feature with accuracy: 0.9034
- Adding the 6 feature with accuracy: 0.9038
- Adding the 7 feature with accuracy: 0.91
- Adding the 8 feature with accuracy: 0.9078
- Adding the 9 feature with accuracy: 0.8956
- Adding the 11 feature with accuracy: 0.9014
- Adding the 12 feature with accuracy: 0.9066
- Adding the 13 feature with accuracy: 0.9024
- Adding the 14 feature with accuracy: 0.8958
- Adding the 15 feature with accuracy: 0.908
- Adding the 16 feature with accuracy: 0.9006
- Adding the 17 feature with accuracy: 0.9114
- Adding the 19 feature with accuracy: 0.902
- Adding the 20 feature with accuracy: 0.904
- Adding the 21 feature with accuracy: 0.9054
- Adding the 22 feature with accuracy: 0.9074
- Adding the 23 feature with accuracy: 0.9044
- Adding the 24 feature with accuracy: 0.9002
- Adding the 25 feature with accuracy: 0.9032
- Adding the 26 feature with accuracy: 0.9068
- Adding the 27 feature with accuracy: 0.9046
- Adding the 28 feature with accuracy: 0.906
- Adding the 29 feature with accuracy: 0.9012
- Adding the 30 feature with accuracy: 0.9096
- Adding the 31 feature with accuracy: 0.899
- Adding the 32 feature with accuracy: 0.9058
- Adding the 33 feature with accuracy: 0.9052
- Adding the 34 feature with accuracy: 0.9084
- Adding the 35 feature with accuracy: 0.8966
- Adding the 36 feature with accuracy: 0.9072
- Adding the 37 feature with accuracy: 0.9036
- Adding the 38 feature with accuracy: 0.8988
- Adding the 39 feature with accuracy: 0.9038
- Adding the 40 feature with accuracy: 0.9028
- Adding the 41 feature with accuracy: 0.909
- Adding the 42 feature with accuracy: 0.9088
- Adding the 43 feature with accuracy: 0.9068
- Adding the 44 feature with accuracy: 0.9024
- Adding the 45 feature with accuracy: 0.9002
- Adding the 47 feature with accuracy: 0.9072
- Adding the 48 feature with accuracy: 0.9056
- Adding the 49 feature with accuracy: 0.905
- Adding the 50 feature with accuracy: 0.9086

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 4, added feature 0 to current set. With current features: [9, 3, 45, 17, 0] and local maximum accuracy 0.914

On the 5th level of the search tree
- Adding the 2 feature with accuracy: 0.8742
- Adding the 3 feature with accuracy: 0.8744
- Adding the 5 feature with accuracy: 0.874
